stratum,url,origin,pay_to,network,price_usdc,seller_tx_count
mid_activity,https://gamemaxxing.baes.so/api/agent/v1/search,gamemaxxing.baes.so,0x702ba46435D1E55B18440100BC81EB055574875e,eip155:8453,0.001,37
mid_activity,https://hibraapp-delta.vercel.app/api/swap/execute,hibraapp-delta.vercel.app,0xCaedAF1FbF0dd26d93D50bD9878aC1167f1D0dfd,base,0.1,582
mid_activity,https://hypernatt.com/api/m2m/liq-radar,hypernatt.com,0x5a78ace5dd133316c8aaf7e156fbfc57e1209cf9,eip155:8453,0.001,42
mid_activity,https://ipfs.c402.markets/ipfs-upload,ipfs.c402.markets,0x1C146D7746Ea31f38eD16158f9f8cd19e03b2630,base,0.02,94
mid_activity,https://news-x402.com/news/recent,news-x402.com,0xda8a384c99832de7f176a6c21720227ac024e364,eip155:8453,0.01,118
mid_activity,https://nittarab.dev/secret,nittarab.dev,0x89764c3dEd721c29999A237cF935a34e1C8EDf97,base,0.05,434
mid_activity,https://platform.shipp.ai/api/v1/connections/inline/1,platform.shipp.ai,0xB69C86B17001f0c0838847225403CBd414905E2d,eip155:8453,0.01,21
mid_activity,https://tensorfeed.ai/api/premium/agents/directory,tensorfeed.ai,0x549c82e6bfc54bdae9a2073744cbc2af5d1fc6d1,eip155:8453,0.02,182
mid_activity,https://three.ws/api/x402/dance-tip,three.ws,0x4022de2d36c334e73c7a108805cea11c0564f402,eip155:8453,0.001,22
mid_activity,https://www.datadon.xyz/datadon/hello,www.datadon.xyz,0x5622912cC90DE831C5FcEc5Eb65e10fB3892C75D,base,1.0,232
mid_activity,https://x402-cybercentry-cyber-security-consultant.up.railway.app/query,x402-cybercentry-cyber-security-consultant.up.railway.app,0xfEE13309251B632317ea2d475d6ABa7E7E0219e6,base,0.02,1390
mid_activity,https://x402.agoragentic.com/v1/text-summarizer,x402.agoragentic.com,0xadB33740Ac38c8F6721100Ff813ab91d958670BC,eip155:8453,0.1,55
top_volume,http://agentic.eternalai.org/uncensored-image,agentic.eternalai.org,0x145e95367d1524505BF44E9589A34b1EA62983C5,base,0.029,34996
top_volume,http://ainalyst-api.xyz/click,ainalyst-api.xyz,0x5E50d23EC14Ea4436582029a25313e5048e01D10,base,0.01,8904260
top_volume,https://agi.apify.com/protocols/x402/prepaid-tokens,agi.apify.com,0x4aAbE17C239eF71c3A26bA7C2b3e0AeBbfC1DF26,eip155:8453,1.0,851
top_volume,https://api.bitrefill.com/x402/checkout/info,api.bitrefill.com,0x480CD46E6faDe651a0437DeaddA53D5c8e7D846A,eip155:8453,0.001,188
top_volume,https://api.exa.ai/contents,api.exa.ai,0x6d6E695b09861467c7d462f5AAF31cF3540B9192,eip155:8453,0.001,79871
top_volume,https://api.itsgloria.ai/news,api.itsgloria.ai,0xCa1271E777C209e171826A681855351f4989cd0c,base,0.03,19054
top_volume,https://api.jarvisclaw.ai/v1/chat/completions,api.jarvisclaw.ai,0xDC59fa7b64988B846e76eC9849bb68f889071506,eip155:8453,0.001,7044
top_volume,https://api.messari.io/metrics/v2/assets/ath,api.messari.io,0x75Ddd3c42eAce13c59EA0CD1141B886A1c70D2A5,eip155:8453,0.1,1575
top_volume,https://api.myceliasignal.com/oracle/basis/btc/usd,api.myceliasignal.com,0xD593832Ce9C2B13B192ba50B55dd9AF44e96700d,eip155:8453,0.02,7096
top_volume,https://api.nansen.ai/api/v1/chains/chain-rank,api.nansen.ai,0x93053f1e7A5eFEDa532Fe69CbbE43cBEc3A0F13f,eip155:8453,0.01,28587
top_volume,https://api.strale.io/x402/address-geocode,api.strale.io,0x66D7C2F952362BFB24FD7F02a9beC9c754ea83bC,base,0.0216,2947
top_volume,https://bald.x420.dev/api/puff,bald.x420.dev,0x93109d14F6665a9c9675290D3cD5A6c07bBAfdbd,base,1.0,144840
top_volume,https://basetomcat.com/api/mint-experience,basetomcat.com,0x0D6041F6F8FeE3B66efb633716af12c2Da331D77,base,0.01,267614
top_volume,https://emc2ai.io/x402/bitquery/candles/raw,emc2ai.io,0xc9368b30BD620164FD1a05a5d99dcaf8Ae754775,base,0.25,1158
top_volume,https://gifu-server.onrender.com/api/x402/search/random,gifu-server.onrender.com,0xCD95802A4aBddD75A5750DD2d6935007eF268275,base,0.03,697
top_volume,https://market.lnpay.ai/x402/agent,market.lnpay.ai,0x66FA4D79cA84016b42352BE33C908Dd812952Ec8,base,0.01,31551142
top_volume,https://mesh.heurist.xyz/x402/agents/AIXBTProjectInfoAgent/get_market_summary,mesh.heurist.xyz,0x7d9d1821d15B9e0b8Ab98A058361233E255E405D,base,0.01,67813
top_volume,https://nut402.codenut.xyz/api/mint/xs,nut402.codenut.xyz,0x941328bA462F729d4a0Dab895F21bd69aD5B15E0,base,0.01,79425
top_volume,https://pay.codenut.ai/credit-drop/xs,pay.codenut.ai,0x8d8Fa42584a727488eeb0E29405AD794a105bb9b,base,0.01,403233
top_volume,https://public.zapper.xyz/x402/account-identity,public.zapper.xyz,0x43a2a720cd0911690c248075f4a29a5e7716f758,eip155:8453,0.001125,135468
top_volume,https://wurkapi.fun/base/xraid/small,wurkapi.fun,0xF00DAF15713e82fBb7bDC4b818444D93D655DE96,eip155:8453,1.0,2468
top_volume,https://www.genbase.fun/api/image/create,www.genbase.fun,0xF338bDD9ec443335B1c33aD3bb21A421A36f97eA,base,0.02,6316
top_volume,https://www.qrbase.xyz/api/x402/ping,www.qrbase.xyz,0x07737A1fB3863202bcd3c7408b801EEd68604D39,base,0.001,886050
top_volume,https://x402-secure-api.t54.ai/x402/tools/get_api_health,x402-secure-api.t54.ai,0x0495d60c927B97d67D5018C6AA65C9b2bebaeED9,base,0.01,29639429
top_volume,https://x721.dev/roadmap,x721.dev,0x70DA5f2A851FB936eFF8207f2733b0914cC44B7D,base,0.01,1380
