recipient,reasons,bucket_census,tx_count
0x05970ebca65093f5eb53d980caadf2978f27f8da,control,GHOST,4
0x059ce4b241c4b8844f4515f415313ecc8e40e478,control,GHOST,2
0x059d091d51a0f011c9872eaa63df538f5ce15945,active_legit_candidate,ACTIVE_LEGITIMATE,44
0x05a11b89c4ea514099596f31a80f9107b717709a,top_volume,GHOST,1
0x05ce71c2cab86af566ae5b7842b7f14c58865a2b,control,GHOST,2
0x05f05ecbd76789434c08c52aa7c2bf2d651c5783,top_volume,GHOST,1
0x0613e78ea32bd193d0ba7bad4f4e5323a8f977d8,control,TEST_RIG,20
0x062cd2e066db07dc31683855d6a26a4a4c41e75b,top_volume,DORMANT,4268
0x064d3e48508730fca8e5c3bc6fef041e5da46556,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,2456
0x065a9396b827e5f444665ce35435f8b8ecd19bb3,control,GHOST,1
0x06826ef993290b9b48b9b7b487eadf7b49442451,top_volume,GHOST,1
0x069c6012e053dfbf50390b19fae275ad96d22ed7,active_legit_candidate,ACTIVE_LEGITIMATE,80
0x06a3bcfd793986e6222e62751002761470728ca7,control,GHOST,1
0x06b59623be542118a6ab741690365f2a00b9d074,control,GHOST,3
0x06df1cdeefff8a777468c6caee0d269f00fabba1,active_legit_candidate,ACTIVE_LEGITIMATE,162
0x06dff3c8380b5d1799874ada903fc3422882fd6f,active_legit_candidate,ACTIVE_LEGITIMATE,6694
0x070968239488137d49a79a107cdfad54664fb79e,control,GHOST,1
0x07317e7713aa8ee93913214a4a74f334ff7db048,active_legit_candidate,ACTIVE_LEGITIMATE,167
0x073449e7f3a34b9ad150f0522a47424a9def6850,active_legit_candidate,ACTIVE_LEGITIMATE,75
0x0750a9e669c37fe1a1847e4b8f9e16f07c16162f,active_legit_candidate,ACTIVE_LEGITIMATE,2522
0x07735d3636a0673e614a52962df0f14885de6be3,active_legit_candidate,ACTIVE_LEGITIMATE,137
0x07737a1fb3863202bcd3c7408b801eed68604d39,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,1772100
0x0799872e07ea7a63c79357694504fe66edfe4a0a,active_legit_candidate,ACTIVE_LEGITIMATE,3403
0x079d8cab4da9b5817612e98b8f6fc72cb1cb25a6,top_volume,DORMANT,3145
0x07a964a2b21a9eb6ce680dadd92d327252a808ad,control,GHOST,3
0x07af36c3623ba4421a0c95402ac82e8e8b1aeddc,control,TEST_RIG,7
0x07c4a004f8762ebfb619c5c678e1767e6bebfc24,control,TEST_RIG,8
0x07d05521abfc0b561e3f888702de9cb743626547,top_volume,DORMANT,66
